input_text,target_text
i colour the centre of my favourite book,i color the center of my favorite book
he is travelling to the theatre,he is traveling to the theater
i have a flat near the lift,i have an apartment near the elevator
i have a flat near the lift ,i have an apartment near the elevator
the programme will start at 6 oclock,the program will start at 6 oclock
he has a cheque for payment,he has a check for payment
she wears jewellery on occasions,she wears jewelry on occasions
 they are practising for the football match,they are practicing for the soccer game
he is using a spanner for the repair,he is using a wrench for the repair
the aeroplane landed on time,the airplane landed on time
hello how are you,hello how are you
she bought some colour pencils,she bought some color pencils
i am going to the lift,i am going to the elevator
his behaviour is unacceptable,his behavior is unacceptable
the cheque arrived late ,the check arrived late
do you know where the lift is,do you know where the elevator is
the labor union is organizing a programme ,the labour union is organizing a program
he enjoys playing football ,he enjoys playing soccer
i love visiting the theatre,i love visiting the theater
their practise sessions are improving,their practice sessions are improving
he likes the colour red,he likes the color red
the cheque has been approved,the check has been approved
the aeroplane was delayed,the airplane was delayed
their neighbourhood is beautiful,their neighborhood is beautiful
theyve cancelled the programme,theyve canceled the program
she practises yoga regularly,she practices yoga regularly
the cheque has not arrived yet,the check has not arrived yet
he is organizing a theatre play,he is organizing a theater play
i prefer the lift to the stairs,i prefer the elevator to the stairs
his behaviour has been exemplary,his behavior has been exemplary
is the cheque ready for collection,is the check ready for collection
please colour this drawing,please color this drawing
the aeroplane has landed safely,the airplane has landed safely
theyre still practising football ,theyre still practicing soccer
her jewellery collection is stunning,her jewelry collection is stunning
whats the programme for tomorrow,whats the program for tomorrow
their labour union is powerful,their labor union is powerful
they enjoy going to the theatre,they enjoy going to the theater
her favourite dish is lasagna,her favorite dish is lasagna
i need to go to the flat,i need to go to the apartment
the cheque is invalid,the check is invalid
the aeroplane is ready for boarding,the airplane is ready for boarding
he prefers the colour blue,he prefers the color blue
the theatre play was amazing,the theater play was amazing
the programme starts at 10 am,the program starts at 10 am
their neighbourhood is very welcoming,their neighborhood is very welcoming
please practise before the event,please practice before the event
her jewellery is antique,her jewelry is antique
the cheque bounced,the check bounced
she wears jewellery every day,she wears jewelry every day
he works in the theatre,he works in the theater
her behaviour is strange lately,her behavior is strange lately
the cheque is in processing,the check is in processing
they are rehearsing for the programme,they are rehearsing for the program
the aeroplane is landing shortly,the airplane is landing shortly
her favourite sport is football ,her favorite sport is soccer
the cheque will be sent tomorrow,the check will be sent tomorrow
the aeroplane has been delayed again,the airplane has been delayed again
they prefer the colour green,they prefer the color green
she is visiting the theatre tomorrow,she is visiting the theater tomorrow
the programme is about to begin,the program is about to begin
the cheque is ready for pickup,the check is ready for pickup
her favourite pastime is painting,her favorite pastime is painting
his favourite sport is rugby,his favorite sport is rugby
the aeroplane is taking off,the airplane is taking off
she practises football daily,she practices soccer daily
the cheque is overdue,the check is overdue
her behaviour has been concerning,her behavior has been concerning
the cheque is being reissued,the check is being reissued
the theatre group is performing tonight,the theater group is performing tonight
they are enjoying the programme,they are enjoying the program
their jewellery is made of gold,their jewelry is made of gold
the cheque has been misplaced,the check has been misplaced
her favourite flower is a rose,her favorite flower is a rose
he is practicing football right now,he is practicing soccer right now
her jewellery box is full,her jewelry box is full
the cheque has been canceled,the check has been canceled
the aeroplane was on time,the airplane was on time
he loves the colour yellow,he loves the color yellow
she is practising for the marathon,she is practicing for the marathon
the programme was postponed,the program was postponed
the aeroplane has already taken off,the airplane has already taken off
the cheque will be delivered tomorrow,the check will be delivered tomorrow
they enjoy watching theatre performances,they enjoy watching theater performances
she painted the colour blue on the wall,she painted the color blue on the wall
he is participating in the programme,he is participating in the program
the aeroplane was delayed again,the airplane was delayed again
the cheque is ready for withdrawal,the check is ready for withdrawal
she has a collection of beautiful jewellery ,she has a collection of beautiful jewelry
the cheque is still pending,the check is still pending
the aeroplane will arrive shortly,the airplane will arrive shortly
the theatres performance was breathtaking,the theaters performance was breathtaking
her behaviour has been commendable,her behavior has been commendable
the cheque was never received,the check was never received
the aeroplane took off on time,the airplane took off on time
she wears jewellery for special occasions,she wears jewelry for special occasions
